Date,Consumer Price Index,Food and non-alcoholic beverages,"Alcoholic Beverages, Tobacco, and Narcotics",Clothing and footwear,"Housing, Water, Electricity, Gas and Other Fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,Country
01-Apr-2016,276.42,305.7,483.88,188.69,315.33,223.91,168.68,252.13,128.57,199.09,272.37,410.45,330.59,Turkey
01-May-2016,278.02,300.69,483.73,203.87,316.53,223.29,169.1,254.9,129.75,200.9,275.21,412.54,333.72,Turkey
01-Jun-2016,279.33,304.18,483.72,201.16,318.01,224.24,170.35,256.62,130.06,200.52,277.82,414.58,334.75,Turkey
01-Jul-2016,282.58,313.76,517.8,192.84,319.08,224.63,172.09,256.9,131.85,202.69,279.41,419.63,339.14,Turkey
01-Aug-2016,281.76,307.73,535.59,183.8,320.59,225.22,172.75,257.38,131.99,203.43,286.71,423.08,340.68,Turkey
01-Sep-2016,282.27,305.58,535.63,177.39,321.92,225.48,173.12,264.32,132.32,202.55,292.4,425.9,341.64,Turkey
01-Oct-2016,286.33,310.96,535.6,195.9,321.16,226.82,173.43,269.61,132.24,200.46,293.3,428.88,343.07,Turkey
01-Nov-2016,287.81,309.18,535.64,203.53,323.94,226.54,173.52,270.94,133.08,202.97,293.59,430.96,347.05,Turkey
01-Dec-2016,292.54,319.35,574.89,198.34,327.01,229.43,174.67,276.27,132.9,205.86,293.62,432.87,349.12,Turkey
01-Jan-2017,299.74,339.7,588.45,184.48,332.97,233.45,182.81,285.22,133.05,210.77,293.76,437.38,363.95,Turkey
01-Feb-2017,302.17,342.57,588.6,178.3,336.91,231.88,186.77,293.25,133.92,212.65,293.81,441.13,368.96,Turkey
01-Mar-2017,305.24,349.18,588.59,181.85,338.37,234.2,190.28,294.89,133.93,215.95,296.58,444.22,371.14,Turkey
01-Apr-2017,309.23,353.47,588.65,198.45,339.09,236.41,191.14,297.37,133.9,217.45,298.63,448.49,375.83,Turkey
01-May-2017,310.61,351.53,588.66,210.3,340.46,238.24,191.58,295.21,134.58,222.71,301.31,452.46,372.42,Turkey
01-Jun-2017,309.78,347.81,588.7,207.68,341.51,239.39,191.91,292.73,134.05,222.4,304.47,457.12,374.37,Turkey
01-Jul-2017,310.24,345.34,591,200.39,343.02,240.89,192.55,296.04,134.22,225.43,307.66,465.12,375.11,Turkey
01-Aug-2017,311.85,344.57,591.27,194.19,345.46,244.89,192.89,302.11,134.33,226.19,316.25,469.91,377.78,Turkey
01-Sep-2017,313.88,343.79,591.32,195.75,348.08,245.97,193.72,306.87,134.68,226.55,322.84,474.68,382.85,Turkey
01-Oct-2017,320.4,350.57,591.32,218.28,351.34,253.24,194.61,314.89,134.67,222.59,324.03,478.02,386.41,Turkey
01-Nov-2017,325.18,357.95,591.4,226.52,355.72,255.64,195.01,321.23,135,223.06,324.3,480.22,393.53,Turkey
01-Dec-2017,327.41,363.38,591.36,221.1,358.47,258.65,195.46,326.65,134.77,223.11,324.39,482.5,393.72,Turkey
01-Jan-2018,330.75,369.45,593.67,207.78,366.86,264.95,200.19,330.9,133.44,225.92,325.12,487.35,405.36,Turkey
01-Feb-2018,333.17,377.74,593.86,199.29,368.78,268.2,205.33,331.92,133.74,230.18,325.77,492,408.69,Turkey
01-Mar-2018,336.48,385.4,593.87,201.38,370.39,270.3,209.23,334.43,133.87,231.36,328.83,496.07,411.49,Turkey
01-Apr-2018,342.78,384.6,593.92,222.32,375.15,276.01,210.19,346.28,133.82,235.23,331.06,501.78,421.03,Turkey
01-May-2018,348.34,390.19,594.83,233.91,378.73,278.42,210.91,354.31,134.28,238.15,334.48,509.07,429.7,Turkey
01-Jun-2018,357.44,413.51,594.96,231.23,382.64,284.66,212.69,363.74,140.67,243.29,337.33,517.92,437.23,Turkey
01-Jul-2018,359.41,412.35,599.46,224.14,386.86,289.85,215.24,367.71,140.51,247.22,340.92,529.6,439.78,Turkey
01-Aug-2018,367.66,412.61,602,220.58,401.77,303.08,217.13,384.08,144.2,253.68,343.62,539.58,465.52,Turkey
01-Sep-2018,390.84,439.01,602.41,229.34,424.11,337.67,222.13,419.21,145.8,270.47,357.3,565.3,500.05,Turkey
01-Oct-2018,401.27,453.16,603.51,258.56,441.7,349.28,225.41,415.66,148.79,276.06,357.32,573.91,508.11,Turkey
01-Nov-2018,395.48,449.8,604.56,264.7,443.79,339.32,226.7,388.79,147.9,270.31,357.38,576.29,503.21,Turkey
01-Dec-2018,393.88,454.64,605.52,253.89,443.54,339.77,228.1,378.82,147.74,269.64,357.45,578.07,507.12,Turkey
01-Jan-2019,398.07,483.87,609.26,233.7,429.81,341.98,236.21,379.59,148.84,278.22,357.71,584.28,525.48,Turkey
01-Feb-2019,398.71,488.24,609.94,222.45,429.84,342.2,242.06,382.29,148.34,277.2,363.56,589.39,523.44,Turkey
01-Mar-2019,402.81,500.14,609.99,223.47,430.98,343.23,250.48,385.14,147.91,277.82,368.84,593.31,526.48,Turkey
01-Apr-2019,409.63,507.12,651.31,235.45,432.57,352.31,251.7,389.74,147.47,280.7,373.49,600.02,536.67,Turkey
01-May-2019,413.52,501.16,709.14,245.08,434.32,346.74,251.77,398.25,147.56,285.93,378.42,609.71,544.63,Turkey
01-Jun-2019,413.63,492.9,709.43,241.24,435.43,348.73,253.21,400.11,148.12,285.82,384.11,625.87,554.76,Turkey
01-Jul-2019,419.24,487.44,714.76,233.52,448.94,363.5,253.84,417.97,149.35,290.4,387.55,634.74,558.23,Turkey
01-Aug-2019,422.84,483.68,851.35,230.94,458.1,364.09,255.07,409.88,149.35,291.92,404.05,639.51,563.18,Turkey
01-Sep-2019,427.04,480.79,866.61,235.87,467.95,366.9,256.37,416.46,149.25,290.38,407.32,649.38,574.97,Turkey
01-Oct-2019,435.59,488.73,866.63,263.47,484.55,370.44,257.5,421.32,151.38,288.68,408.07,652.6,576.33,Turkey
01-Nov-2019,437.25,489.8,866.66,270.55,486.29,372.62,258.1,422.69,151.97,288.92,408.68,651.59,573.8,Turkey
01-Dec-2019,440.5,504.14,866.65,265.38,487.44,373.05,259.18,425.08,152.41,288.59,409.15,654.18,576.22,Turkey
01-Jan-2020,446.45,527.59,866.45,247.73,493.27,367.66,269.45,428.76,152.03,293.97,411.75,663.25,604.36,Turkey
01-Feb-2020,448.02,539.88,854.81,235.76,495.65,367.37,274.93,427.15,151.7,293.85,415.3,668.69,609.5,Turkey
01-Mar-2020,450.58,550.42,855.12,237.29,496.96,369.64,282.56,419,151.63,296.48,418.17,674.5,617.08,Turkey
01-Apr-2020,454.43,564.32,855.31,246.98,495.39,373.66,284.06,411.33,149.76,294.49,419.61,675.32,645.84,Turkey
01-May-2020,460.62,565.68,860.99,263.9,497.06,377.94,284.68,424.9,151.96,296.62,420.78,676.43,658.26,Turkey
01-Jun-2020,465.84,556.61,868.44,266.95,500.54,382.69,287.51,443.98,155.29,303.89,428.92,695.55,664.62,Turkey
01-Jul-2020,468.56,549.48,870.4,257.67,505.21,391.78,289.81,454.8,158.03,307.94,436.37,704.05,680.51,Turkey
01-Aug-2020,472.61,549.04,872.12,252.23,510.03,396.51,292.52,461.9,158.87,311.23,438.38,715,715.18,Turkey
01-Sep-2020,477.21,552.66,872.47,252.16,514.76,408.5,295.06,470.38,159.31,313.97,438.08,720.26,719.71,Turkey
01-Oct-2020,487.38,569.4,872.4,269.32,525.13,418.52,297.67,479.98,159.67,313.69,438.1,725.37,734.26,Turkey
01-Nov-2020,498.58,593.07,872.43,273.24,530.64,425.61,300.04,501.61,159.86,318.5,437.27,733.6,742.61,Turkey
01-Dec-2020,504.81,608.06,872.31,264.54,534.18,440.35,302.38,514.86,161.14,318.72,437.14,737.25,738.27,Turkey
01-Jan-2021,513.3,623.16,878.17,252.97,550.29,453.13,315.24,520.65,161.64,322.63,437,748.72,752.59,Turkey
01-Feb-2021,517.96,639.2,879.35,250.63,553.6,454.58,324.71,523.15,162.55,319.48,440.77,758.58,735.14,Turkey
01-Mar-2021,523.53,646.41,879.67,254.93,557.45,457.03,336.72,523.13,163.78,325.91,452.99,778.33,749.69,Turkey
01-Apr-2021,532.32,660.16,886.09,274.23,562.76,456.88,338.61,531.9,163.32,330.79,462.46,788.85,763.86,Turkey
01-May-2021,537.05,662.08,885.96,279.07,567.03,460.3,339.62,545.51,164.23,326.42,465.25,796.33,776.23,Turkey
01-Jun-2021,547.48,667.88,885.88,285.77,573.7,481.01,342.32,560.71,164.81,340.98,475.51,826.76,797.18,Turkey
01-Jul-2021,557.36,686.41,886.1,279.67,602.77,480.72,343.74,566.77,165,345.42,482.69,849.27,798.23,Turkey
01-Aug-2021,563.6,708.25,887.73,271.06,608.49,487.34,344.82,562.42,166.48,349.33,485.51,868.59,807.87,Turkey
01-Sep-2021,570.66,711.76,888.14,270.62,622.72,503.56,346.61,565.44,167.26,353.05,510.5,887.83,819.88,Turkey
01-Jan-2009,59.6,59.6,54.3,63.5,63.5,58.4,66.8,37.4,0,52,0,48.9,56.6,Zimbabwe
01-Feb-2009,57.8,57.3,51.5,61.3,63.4,58.9,61.6,36.3,0,53.2,0,47,56.5,Zimbabwe
01-Mar-2009,56,54.1,48.4,57.8,63.2,59.7,61.5,36.3,0,53,0,48.9,55.2,Zimbabwe
01-Apr-2009,55.4,52.5,47.1,55.9,67.3,59.5,59.7,36.7,130.7,53,56.9,46.9,54.8,Zimbabwe
01-May-2009,54.9,52.1,47.1,52.2,67.5,56.6,60.3,37.5,130.5,53.3,54.8,46.2,55.7,Zimbabwe
01-Jun-2009,55.2,51.4,49.5,51.5,67.3,56.3,61.9,40.2,131.2,52.5,55.2,47.9,55.9,Zimbabwe
01-Jul-2009,55.7,51.5,48.7,51.9,67.6,57.7,61.4,43.4,127.2,52.8,55.1,47.2,56,Zimbabwe
01-Aug-2009,56,51.5,49.1,51.7,69.7,57.8,62.4,43.2,126.9,52.7,55.9,47.1,55.1,Zimbabwe
01-Sep-2009,55.7,50.9,49,51.4,69.7,57.8,62.5,42.1,125.8,54.8,56.2,48.5,55.2,Zimbabwe
01-Oct-2009,56.1,51.1,50.4,51.5,72.1,57.8,62.4,42.4,125.4,54.6,56.2,48.5,54.8,Zimbabwe
01-Nov-2009,56.1,51.2,49.7,52.2,72.1,58.4,60.7,42.3,125.5,53.2,56.4,49,54.7,Zimbabwe
01-Dec-2009,56.4,51.5,50.4,51.9,72.2,58,61.2,43.1,125,53.2,59,50,54.3,Zimbabwe
01-Jan-2010,56.8,52.4,50.7,51.5,72.2,52.9,61.8,42.6,125,54.1,60.8,50.5,54.6,Zimbabwe
01-Feb-2010,57.3,53.4,52.7,51.8,72.2,52.9,61.6,43.1,125,53.4,59.7,51,54.7,Zimbabwe
01-Mar-2010,58,54.7,54.9,51.5,73.9,55.1,62.5,42,124.2,52.9,58.7,52.8,55.3,Zimbabwe
01-Apr-2010,58,55.2,55.3,50.5,73.5,55.3,62.2,41.7,120.6,51.7,58.7,52.8,54.9,Zimbabwe
01-May-2010,58.2,55.5,56,50.5,73.1,55.5,62.4,41.8,120.6,51.9,58.7,53,54.8,Zimbabwe
01-Jun-2010,58.1,55.2,55.8,50.7,74,55.3,62.3,41.6,120.5,51.7,59.1,53,55,Zimbabwe
01-Jul-2010,58.1,55.2,55.1,50.6,73.6,55.4,62.2,41.7,120.8,51.8,58.7,52.7,54.8,Zimbabwe
01-Aug-2010,58,55.2,55.2,50.5,73.6,55.4,62,41.6,120.6,51.6,58.7,53,54.8,Zimbabwe
01-Sep-2010,58,55.2,55.1,50.5,73.1,55.4,62.3,41.7,120.5,51.6,58.7,53,54.9,Zimbabwe
01-Oct-2010,58.2,55.4,55.9,50.5,73.9,55.2,62.2,41.6,119.9,51.5,58.7,53.2,55.2,Zimbabwe
01-Nov-2010,58.4,56.2,55.8,50.5,74,54.1,62.2,41.9,120.6,51.4,58.7,53.4,55.6,Zimbabwe
01-Dec-2010,58.2,55.3,55.5,50.7,73.7,55.2,62.2,41.9,120.5,51.6,58.7,52.9,55.1,Zimbabwe
01-Jan-2011,58.8,56,55.8,50.9,74.1,55.3,62.1,44,119.3,51.4,59.1,53.1,56.8,Zimbabwe
01-Feb-2011,59.1,56.2,56.5,51.3,74.3,55.4,61.9,44.5,119.4,51.6,59.4,53.3,56.9,Zimbabwe
01-Mar-2011,59.5,56.6,57.2,51.5,75.3,55.3,61.9,45.6,119,51.8,61.5,54.1,56.9,Zimbabwe
01-Apr-2011,59.6,56.9,57.3,51.1,75.7,55,61.6,45.7,118.6,51.9,61.5,54.3,57.1,Zimbabwe
01-May-2011,59.7,56.8,57.5,51.4,75.6,55,61.8,45.7,118.3,52.1,61.5,55,56.9,Zimbabwe
01-Jun-2011,59.8,56.9,57.6,51.5,76.4,55.2,62.1,45.6,118.3,52.5,61.5,55,57.1,Zimbabwe
01-Jul-2011,59.9,57.1,57.5,51.7,76.6,55.3,61.9,45.6,117.8,52.5,61.5,55.5,57.2,Zimbabwe
01-Aug-2011,60,57.1,57.6,51.8,77.1,55.5,61.9,45.8,117.7,52.4,61.8,56,57.4,Zimbabwe
01-Sep-2011,60.5,57.4,57.8,51.9,78.4,55.6,62,44.6,133.7,52.5,62,56.2,57.9,Zimbabwe
01-Oct-2011,60.6,57.5,57.9,52,78.5,55.2,62.2,44.7,133.6,52.6,62,56,58.2,Zimbabwe
01-Nov-2011,60.9,58.3,57.8,52.2,78.9,55.2,62.2,44.6,133.4,52.6,62,56.7,58.3,Zimbabwe
01-Dec-2011,61,58.5,59.7,52.1,79.2,55.3,62.2,44.6,133.4,52.5,62,57.3,58.2,Zimbabwe
01-Jan-2012,61.3,58.7,59.9,52.2,79.2,55.6,62.4,44.8,134,51.5,62.6,58.1,58.5,Zimbabwe
01-Feb-2012,61.6,59,60.5,52.3,82.2,55.7,62.6,44.7,133.3,52.5,62.6,57.9,58.7,Zimbabwe
01-Mar-2012,61.9,59.5,60.5,52.4,83.5,55.9,62.6,44.8,133.1,52.6,65.3,58,59,Zimbabwe
01-Apr-2012,62,59.6,60.8,52.1,85.8,55.8,62.5,45.2,133.2,53.2,65.4,58.2,59,Zimbabwe
01-May-2012,62,59.4,60.8,52.2,86.1,55.8,62.6,45.2,132.9,52.7,65.4,58.4,59,Zimbabwe
01-Jun-2012,62.2,59.6,61.2,52.3,87.2,56,62.9,45.2,132.9,52.5,68.3,58.3,58.9,Zimbabwe
01-Jul-2012,62.3,59.6,61.4,52,87.3,56,63,46.1,132.9,52.6,68.3,58.7,59,Zimbabwe
01-Aug-2012,62.2,59.5,61.4,51.7,87.5,56.1,63.2,46.1,132.9,52.6,68.4,58.8,58.8,Zimbabwe
01-Sep-2012,62.5,60.2,61.4,51.6,87.3,56.1,63.5,46.2,133,52.7,68.7,59.1,59,Zimbabwe
01-Oct-2012,62.7,60.4,61.7,51.8,87.2,56.1,63.4,47.7,133.1,52.5,68.3,59.3,59.6,Zimbabwe
01-Nov-2012,62.7,60.6,61.5,51.9,87.5,56.1,63.4,47.8,133.2,52.5,70.7,59.2,59.5,Zimbabwe
01-Dec-2012,62.8,60.7,62.6,51.8,87.7,56,63.6,47.7,133.5,52.4,70.7,59.2,59.5,Zimbabwe
01-Jan-2013,62.9,60.9,62.2,51.8,87.7,56,63.6,47.7,133.5,52.5,70.7,59.2,59.2,Zimbabwe
01-Feb-2013,63.5,61.8,63.9,52,88.1,56.1,64.6,48.5,133.3,52.4,70.7,59.7,59.9,Zimbabwe
01-Mar-2013,63.6,62,64.2,52,88.1,56.3,64.6,48.7,133,52.5,70.7,59,59.9,Zimbabwe
01-Apr-2013,63.5,61.7,64.4,51.9,89.5,56.3,64.9,48.7,115.5,52.5,73.6,59.2,59.7,Zimbabwe
01-May-2013,63.4,61.5,64.4,52,89.5,56.1,64.8,48.3,115.5,52.3,73.6,59.2,59.6,Zimbabwe
01-Jun-2013,63.3,61.3,64.5,52,89.5,56.1,64.8,48.3,115.1,52.3,73.6,59.1,59.6,Zimbabwe
01-Jul-2013,63.1,60.6,64.4,52.1,89.5,56,64.8,48.4,115,52.3,73.6,59.1,59.6,Zimbabwe
01-Aug-2013,63,60.1,64.1,51.9,90.2,55.9,64.9,48.5,114.9,52.2,74.5,59.7,59.3,Zimbabwe
01-Sep-2013,63,60,64.1,51.9,90.6,55.9,64.8,48.5,114.9,52.2,74.5,59.8,59.6,Zimbabwe
01-Oct-2013,63,60,64.9,51.9,90.5,55.7,64.8,48.4,114.8,52.1,74.5,59.8,59.5,Zimbabwe
01-Nov-2013,63.1,59.6,65.1,51.8,90.5,55.5,64.9,48.3,114.8,52,78.6,60.4,59.3,Zimbabwe
01-Dec-2013,63,59.4,65.2,51.8,90.9,55.4,65,48.4,114.8,51.9,78.6,60.4,59,Zimbabwe
01-Jan-2014,63.1,59.7,65.4,51.8,90.9,55.4,64.8,48.4,114.8,51.9,78.7,60.5,59,Zimbabwe
01-Feb-2014,63.2,59.8,65.3,51.7,90.8,55.3,64.9,48.5,114.8,51.8,78.8,60.5,59,Zimbabwe
01-Mar-2014,63,59.7,65.3,51.7,90,55.2,64.9,48.5,114.8,51.8,78.8,60.5,58.8,Zimbabwe
01-Apr-2014,63.4,59.4,65.5,51.7,89.9,54.8,65,48.6,114.8,52,88.8,59.8,58.8,Zimbabwe
01-May-2014,63.3,59.2,65.6,51.6,89.9,54.7,65,48.8,114.8,51.9,88.9,59.8,58.6,Zimbabwe
01-Jun-2014,63.3,59.2,65.6,51.7,89.9,54.7,65.2,48.7,114.8,51.9,88.9,59.7,58.6,Zimbabwe
01-Jul-2014,63.3,58.9,65.5,51.7,90.1,54.7,65.3,48.7,114.6,51.8,90.5,60.2,58.4,Zimbabwe
01-Aug-2014,63.1,58.4,65.4,51.7,90.1,54.6,65.3,48.8,114.5,51.8,90.4,60.2,57.7,Zimbabwe
01-Sep-2014,63.1,58.2,65.5,51.7,90.5,54.5,65.4,49,114.5,51.7,90.4,60,57.8,Zimbabwe
01-Oct-2014,63,58.1,65.6,51.8,90.5,54.4,65.4,48.9,114.4,51.7,90.4,60,57.8,Zimbabwe
01-Nov-2014,62.6,58,65.7,51.8,90.5,54.3,65.5,48.9,114.4,51.7,82.1,59.6,57.8,Zimbabwe
01-Dec-2014,62.5,57.8,65.7,51.8,90.7,54.3,65.6,49,114.4,51.6,82.1,59.5,57.7,Zimbabwe
01-Jan-2015,62.3,58,65.7,51.8,90.7,54.3,65.6,48.5,99.1,51.6,82.1,59.2,57.9,Zimbabwe
01-Feb-2015,62.3,58.1,65.8,51.6,90.6,54.3,65.6,48.3,99,51.6,82.1,59,57.9,Zimbabwe
01-Mar-2015,62.3,58,65.9,51.5,90.6,54.3,65.6,48.4,99,51.6,82.1,59.1,58,Zimbabwe
01-Apr-2015,61.7,57.7,65.9,51.1,87.6,54,65.5,48.3,98.9,51.5,82.6,59.3,58,Zimbabwe
01-May-2015,61.6,57.5,65.8,50.9,87.7,53.9,65.6,48.2,98.8,51.5,82.6,59.3,57.7,Zimbabwe
01-Jun-2015,61.5,57.2,66,50.9,87.7,53.8,65.5,48.2,98.9,51.4,82.6,59.3,57.8,Zimbabwe
01-Jul-2015,61.5,56.7,66,50.9,87.2,53.4,65.6,48.1,98.8,51.4,88.7,59.2,57.8,Zimbabwe
01-Aug-2015,61.3,56.3,65.8,50.9,87.2,53.3,65.6,48,98.8,51.2,88.7,59.2,57.8,Zimbabwe
01-Sep-2015,61.1,56,65.8,50.9,86.7,53,65.6,47.8,98.4,51.2,88.7,59.9,57.6,Zimbabwe
01-Oct-2015,60.9,55.7,65.5,50.7,86.6,52.9,66,47.6,98.4,51.1,88.7,59.8,57.7,Zimbabwe
01-Nov-2015,61,55.8,65.4,50.6,86.6,52.7,66,47.5,98.2,51.1,91.2,59.8,57.6,Zimbabwe
01-Dec-2015,61,55.6,65.1,50.6,86.8,52.7,65.9,47.4,98.2,51.2,91.2,59.7,57.5,Zimbabwe
01-Jan-2016,61,55.7,65.1,50.5,86.7,52.6,65.9,47.2,98.2,51.1,91.2,59.6,57.3,Zimbabwe
01-Feb-2016,60.9,55.7,65.1,50.5,86.6,52.5,65.7,47.1,98,51.1,91.2,59.6,57.3,Zimbabwe
01-Mar-2016,60.8,55.6,65,50.5,85.7,52.1,65.7,46.9,98.4,51.1,94.3,59.2,56.9,Zimbabwe
01-Apr-2016,60.7,55.4,65,50.4,85.7,51.9,65.7,47,98.4,51,94.3,59.2,56.7,Zimbabwe
01-May-2016,60.5,55.1,64.8,50.3,85.8,51.8,65.5,46.9,96.8,51.1,94.3,59.2,56.5,Zimbabwe
01-Jun-2016,60.7,54.9,64.8,50.2,86.3,51.9,65.6,46.9,96.8,51,96.8,59.4,56.6,Zimbabwe
01-Jul-2016,60.5,54.6,64.8,50.1,86.3,51.9,65.5,46.9,96.4,51,96.8,59.4,56.4,Zimbabwe
01-Aug-2016,60.5,54.4,64.8,50,86.3,51.9,65.5,46.8,96.4,50.9,96.8,59.4,56.5,Zimbabwe
01-Sep-2016,60.3,54.4,64.9,50,85.4,51.7,65.5,46.8,96.3,50.8,96.8,59.4,56.5,Zimbabwe
01-Oct-2016,60.4,54.6,64.8,49.8,85.3,51.8,65.5,46.7,96.3,50.8,96.8,59.4,56.6,Zimbabwe
01-Nov-2016,60.4,54.9,64.9,49.8,85.3,51.8,65.4,46.9,96.3,50.9,94.4,59.4,56.7,Zimbabwe
01-Dec-2016,60.4,55.1,64.8,49.8,84.8,52,65.5,46.8,96.3,51,94.4,59.5,56.9,Zimbabwe
01-Jan-2017,60.6,55.6,64.7,49.8,84.9,52.2,65.4,46.4,96.7,51.2,94.4,59.6,57,Zimbabwe
01-Feb-2017,60.9,56.4,64.8,49.7,85,52.6,65.4,46.5,96.7,51.2,94.4,59.7,57.2,Zimbabwe
01-Mar-2017,60.9,56.3,64.9,49.7,84.9,52.9,65.5,46.6,96.7,51.3,94.4,59.7,57.5,Zimbabwe
01-Apr-2017,61,56.1,64.8,49.7,84.9,53,65.4,46.6,96.8,51.3,96.3,59.9,57.4,Zimbabwe
01-May-2017,61,56.1,64.9,49.8,84.9,53,65.5,46.6,96.8,51.2,96.3,59.7,57.4,Zimbabwe
01-Jun-2017,60.8,55.9,65,49.8,84.2,53.2,65.5,46.5,96.8,51.2,96.3,59.9,57.6,Zimbabwe
01-Jul-2017,60.6,55.7,65.1,49.8,84.3,53.1,65.5,46.4,96.7,51.3,93.6,60.5,57.6,Zimbabwe
01-Aug-2017,60.6,55.4,65,49.9,84.3,53.2,65.5,46.4,96.7,51.3,93.6,60.5,57.6,Zimbabwe
01-Sep-2017,60.8,55.8,65,50.1,84.5,53.7,65.6,46.3,96.9,51.7,93.6,60.6,57.7,Zimbabwe
01-Oct-2017,61.7,57,65.5,50.8,84.7,55.6,66.3,46.7,97.2,53.3,93.6,60.8,59.2,Zimbabwe
01-Nov-2017,62.2,58,65.6,51.1,84.8,56.4,66.5,46.9,97.2,53.9,92.3,60.4,59.9,Zimbabwe
01-Dec-2017,62.5,58.8,65.8,51.5,84.4,56.6,66.5,47,97.2,54.3,92.3,60.7,60.3,Zimbabwe
01-Jan-2018,62.7,59,65.9,51.8,84.4,56.9,66.6,47,97.1,55.3,92.3,60.6,60.7,Zimbabwe
01-Feb-2018,62.7,58.9,66.1,52.3,84.4,57.2,66.6,47,97.3,55.7,92.3,60.6,60.9,Zimbabwe
01-Mar-2018,62.6,58.9,66.2,52.1,83.8,57.4,66.7,46.4,95.7,56.6,92.3,60.5,60.5,Zimbabwe
01-Apr-2018,62.6,58.9,66.3,52.3,83.8,57.4,66.8,46.3,95.5,56.6,92.9,61.6,60.7,Zimbabwe
01-May-2018,62.6,58.9,66.3,52.3,83.8,57.4,66.8,46.3,95.5,56.6,92.9,61.7,60.9,Zimbabwe
01-Jun-2018,62.6,58.7,66.7,52.4,83.7,57.1,67.1,46.4,95.6,56.5,92.9,61.8,61.5,Zimbabwe
01-Jul-2018,63.2,59.2,67,52.6,83.7,57.3,67.3,46.5,95.7,56.8,99.5,63.8,62,Zimbabwe
01-Aug-2018,63.5,59.6,67.1,52.9,83.7,57.8,67.4,46.7,95.7,56.7,99.5,63.9,62.2,Zimbabwe
01-Sep-2018,64.1,60.2,67.2,53.6,84.1,59.4,68.7,46.9,96,56.8,99.5,64.1,62.2,Zimbabwe
01-Oct-2018,74.6,72.3,72.5,78.1,86.6,75.4,77.6,55.9,97.3,72.6,99.5,70.4,70.7,Zimbabwe
01-Nov-2018,81.5,82.8,77.8,86.5,90.7,82.3,80.2,57.2,97.5,84.4,99.9,76.9,81.6,Zimbabwe
01-Dec-2018,88.8,90.3,85.7,93.4,93.2,88.9,87,73.6,98.7,87.1,99.9,87.6,89.8,Zimbabwe
01-Jan-2019,98.4,96.6,97.1,94.4,97.3,97.3,97.2,108.3,99.9,96.7,100,97.8,95.8,Zimbabwe
01-Feb-2019,100,100,100,100,100,100,100,100,100,100,100,100,100,Zimbabwe
01-Mar-2019,104.4,105.1,114.3,105.6,102.3,105.2,102.3,103.1,100.1,103.9,103.7,104.5,105.2,Zimbabwe
01-Apr-2019,110.1,113.3,128.1,112.5,103,111.3,122.7,106.6,103.6,109.5,110.8,125.2,110.8,Zimbabwe
01-May-2019,124,133.3,155.7,125.9,105.6,124.2,143.3,123.8,136,142.1,114.2,133.5,120.7,Zimbabwe
01-Dec-2009,99.03396154,99.07728614,98.18687189,99.80319281,99.64978535,101.3407856,97.38388198,97.08123399,99.92975853,100.1143932,98.15980367,96.08810696,98.73531797,UnitedStates
01-Jan-2010,99.37240748,99.49382034,98.42894364,98.11415875,99.80048809,101.429243,98.24475576,98.45049765,100.1023281,100.2224497,98.20094453,97.16368479,98.94286674,UnitedStates
01-Feb-2010,99.39717182,99.48917373,98.47714377,100.3531601,99.72567113,101.2277566,99.12205843,97.70202555,100.0384873,100.2194482,98.3232243,98.18143586,99.30225382,UnitedStates
01-Mar-2010,99.80532479,99.87003323,98.49856605,102.4631306,99.77483656,101.0763961,99.48568451,99.30023362,100.0604326,100.2584686,98.51064377,99.54299332,99.56769777,UnitedStates
01-Apr-2010,99.97867515,99.94926451,98.46214817,102.3436185,99.70322604,100.4159138,99.68721221,100.4779765,100.1133007,100.4585733,98.70263444,99.97091138,99.8593584,UnitedStates
01-May-2010,100.0561784,99.94741889,99.21192792,101.5673185,99.76307961,100.3589079,99.76059458,100.9710875,100.1103082,100.3195005,98.74834651,100.4860953,99.82549518,UnitedStates
01-Jun-2010,99.9584968,99.83574817,99.8021117,99.48167349,100.1542655,100.0375125,99.92269295,99.6106294,100.0454699,100.3425126,98.91062434,101.8707835,99.80583267,UnitedStates
01-Jul-2010,99.97959235,99.8241642,101.0017593,96.91797996,100.2942801,99.72398,99.89202569,99.80765368,100.1242734,100.2104435,99.40774305,102.4658734,100.0035502,UnitedStates
01-Aug-2010,100.1176306,99.7824641,101.1634975,97.27017053,100.3156563,99.52937361,100.0869818,100.0608134,100.1222784,100.0523607,101.159658,101.8812974,100.2012677,UnitedStates
01-Sep-2010,100.1758727,100.1554526,101.2781067,100.4610383,100.2322889,99.24729263,100.6849934,99.36847667,100.1023281,99.74519999,102.1058977,101.2210209,100.2351309,UnitedStates
01-Oct-2010,100.3006115,100.3259551,101.2481155,101.4805929,100.0003563,99.26498412,100.8887116,100.3458932,99.94571872,99.63013977,101.9310491,100.4366797,100.5519159,UnitedStates
01-Nov-2010,100.3428026,100.5905081,101.0188971,100.9263952,100.0110444,98.92393151,101.0486195,101.0712507,99.85594264,99.5210827,101.9710471,98.49264899,100.9812141,UnitedStates
01-Dec-2010,100.5152358,100.7359971,101.4087826,98.6207632,100.2248072,98.7647081,101.1756695,102.8334622,99.37913188,99.01982037,102.0281872,98.28657543,100.7234167,UnitedStates
